 ,Area,StdDev,Min,Max,Perim.,Circ.,AR,Round,Solidity
324,13.657,0,255,255,13.642,0.922,1.179,0.848,0.919
325,49.614,0,255,255,29.142,0.734,1.364,0.733,0.891
326,39.892,0,255,255,25.321,0.782,1.115,0.897,0.912
327,25.694,0,255,255,19.888,0.816,1.134,0.882,0.902
328,19.907,0,255,255,16.718,0.895,1.056,0.947,0.918
329,30.864,0,255,255,21.920,0.807,1.092,0.916,0.909
330,85.417,0,255,255,48.340,0.459,1.528,0.655,0.846
331,21.296,0,255,255,18.682,0.767,1.226,0.815,0.883
332,23.997,0,255,255,18.289,0.902,1.167,0.857,0.923
333,11.806,0,255,255,13.277,0.842,1.247,0.802,0.908
334,27.546,0,255,255,20.253,0.844,1.081,0.925,0.908
335,42.593,0,255,255,27.678,0.699,1.871,0.534,0.860
336,22.685,0,255,255,18.547,0.829,1.228,0.814,0.906
337,33.410,0,255,255,23.547,0.757,1.589,0.629,0.908
338,21.605,0,255,255,17.896,0.848,1.030,0.971,0.899
339,9.799,0,255,255,12.234,0.823,1.235,0.809,0.891
340,36.420,0,255,255,24.995,0.733,1.449,0.690,0.904
341,15.895,0,255,255,15.079,0.878,1.087,0.920,0.918
342,21.142,0,255,255,18.222,0.800,1.368,0.731,0.907
343,32.562,0,255,255,22.896,0.781,1.107,0.903,0.900
344,37.423,0,255,255,23.749,0.834,1.081,0.925,0.906
345,54.861,0,255,255,28.789,0.832,1.128,0.887,0.920
346,37.346,0,255,255,24.900,0.757,1.243,0.804,0.887
347,17.438,0,255,255,15.702,0.889,1.146,0.873,0.922
348,36.806,0,255,255,23.126,0.865,1.119,0.893,0.924
349,28.395,0,255,255,20.893,0.817,1.171,0.854,0.944
350,21.605,0,255,255,17.111,0.927,1.094,0.914,0.926
351,23.302,0,255,255,18.317,0.873,1.063,0.941,0.921
352,26.929,0,255,255,19.984,0.847,1.227,0.815,0.929
353,17.515,0,255,255,16.095,0.850,1.229,0.814,0.913
354,31.713,0,255,255,22.475,0.789,1.195,0.837,0.909
355,32.948,0,255,255,23.098,0.776,1.058,0.945,0.883
356,49.769,0,255,255,27.896,0.804,1.425,0.702,0.946
357,29.398,0,255,255,24.928,0.595,1.216,0.822,0.905
358,32.407,0,255,255,21.488,0.882,1.050,0.953,0.939
359,28.935,0,255,255,20.511,0.864,1.176,0.850,0.919
360,24.228,0,255,255,19.468,0.803,1.083,0.923,0.897
361,17.130,0,255,255,15.932,0.848,1.115,0.897,0.895
362,22.685,0,255,255,18.682,0.817,1.217,0.822,0.907
363,33.719,0,255,255,22.503,0.837,1.088,0.919,0.921
364,27.701,0,255,255,20.674,0.814,1.053,0.950,0.894
365,25.154,0,255,255,19.523,0.829,1.209,0.827,0.930
366,22.608,0,255,255,17.980,0.879,1.086,0.921,0.988
367,13.966,0,255,255,14.361,0.851,1.098,0.910,0.900
368,31.096,0,255,255,23.194,0.726,1.483,0.674,0.880
369,22.994,0,255,255,18.452,0.849,1.103,0.907,0.906
370,25.231,0,255,255,19.821,0.807,1.190,0.841,0.905
371,36.574,0,255,255,24.237,0.782,1.180,0.848,0.905
372,14.892,0,255,255,14.754,0.860,1.359,0.736,0.908
373,22.685,0,255,255,18.777,0.809,1.350,0.741,0.898
374,28.935,0,255,255,20.769,0.843,1.159,0.863,0.925
375,41.590,0,255,255,25.972,0.775,1.581,0.632,0.908
376,22.608,0,255,255,21.364,0.622,1.698,0.589,0.853
377,35.571,0,255,255,22.638,0.872,1.063,0.940,0.930
378,9.491,0,255,255,12.369,0.780,1.598,0.626,0.860
379,5.941,0,255,255,8.833,0.957,1.279,0.782,0.911
380,22.222,0,255,255,18.194,0.844,1.170,0.855,0.919
381,37.654,0,255,255,26.690,0.664,1.756,0.570,0.861
382,54.244,0,255,255,28.424,0.844,1.168,0.856,0.923
383,12.269,0,255,255,14.103,0.775,1.110,0.900,0.871
384,26.003,0,255,255,20.511,0.777,1.367,0.732,0.901
385,18.673,0,255,255,17.638,0.754,1.265,0.790,0.861
386,20.988,0,255,255,18.222,0.794,1.203,0.831,0.902
387,24.537,0,255,255,19.265,0.831,1.100,0.909,0.933
388,24.151,0,255,255,18.682,0.870,1.023,0.977,0.911
389,31.481,0,255,255,22.503,0.781,1.130,0.885,0.894
390,46.451,0,255,255,27.571,0.768,1.207,0.828,0.915
391,23.611,0,255,255,18.222,0.894,1.090,0.918,0.929
392,34.645,0,255,255,24.928,0.701,1.682,0.594,0.886
393,18.441,0,255,255,16.908,0.811,1.472,0.680,0.895
394,22.531,0,255,255,22.571,0.556,1.156,0.865,0.889
395,23.071,0,255,255,17.924,0.902,1.165,0.858,0.937
396,40.355,0,255,255,24.630,0.836,1.068,0.937,0.927
397,24.306,0,255,255,18.845,0.860,1.127,0.887,0.904
398,20.293,0,255,255,16.976,0.885,1.207,0.828,0.924
399,27.315,0,255,255,19.956,0.862,1.045,0.957,0.924
400,19.599,0,255,255,17.531,0.801,1.171,0.854,0.883
401,76.852,0,255,255,37.745,0.678,1.344,0.744,0.871
402,24.923,0,255,255,19.170,0.852,1.152,0.868,0.905
403,21.373,0,255,255,17.531,0.874,1.191,0.839,0.922
404,6.404,0,255,255,11.123,0.651,2.278,0.439,0.822
405,12.963,0,255,255,14.428,0.783,1.124,0.890,0.857
406,13.040,0,255,255,14.198,0.813,1.069,0.936,0.906
407,5.864,0,255,255,9.619,0.796,1.430,0.699,0.844
408,52.623,0,255,255,28.654,0.805,1.467,0.682,0.917
409,15.278,0,255,255,14.131,0.962,1.122,0.891,0.950
410,27.392,0,255,255,20.972,0.783,1.372,0.729,0.895
411,10.262,0,255,255,12.436,0.834,1.300,0.769,0.866
412,24.923,0,255,255,18.777,0.888,1.033,0.968,0.922
413,39.352,0,255,255,27.083,0.674,1.102,0.907,0.856
414,41.975,0,255,255,25.972,0.782,1.252,0.799,0.902
415,25.540,0,255,255,22.734,0.621,1.147,0.872,0.918
416,37.191,0,255,255,23.777,0.827,1.084,0.922,0.915
417,15.278,0,255,255,15.702,0.779,1.109,0.902,0.876
418,45.216,0,255,255,26.297,0.822,1.324,0.755,0.917
419,50.386,0,255,255,28.491,0.780,1.288,0.776,0.919
420,39.275,0,255,255,24.305,0.835,1.170,0.855,0.926
421,29.398,0,255,255,21.392,0.807,1.339,0.747,0.918
422,7.176,0,255,255,10.567,0.808,1.468,0.681,0.865
423,22.299,0,255,255,17.761,0.888,1.198,0.835,0.923
424,78.627,0,255,255,43.340,0.526,1.545,0.647,0.831
425,18.133,0,255,255,16.162,0.872,1.148,0.871,0.907
426,19.290,0,255,255,19.630,0.629,1.574,0.636,0.801
427,11.497,0,255,255,12.559,0.916,1.345,0.744,0.940
428,31.713,0,255,255,21.785,0.840,1.226,0.816,0.925
429,38.812,0,255,255,23.710,0.868,1.190,0.840,0.945
430,10.417,0,255,255,12.789,0.800,1.040,0.961,0.897
431,20.062,0,255,255,17.666,0.808,1.089,0.918,0.887
432,18.287,0,255,255,17.992,0.710,1.223,0.818,0.851
433,23.843,0,255,255,19.535,0.785,1.110,0.901,0.884
434,14.815,0,255,255,16.650,0.672,1.388,0.720,0.833
435,30.556,0,255,255,20.511,0.913,1.056,0.947,0.941
436,38.040,0,255,255,23.940,0.834,1.263,0.792,0.932
437,29.398,0,255,255,21.162,0.825,1.023,0.977,0.926
438,20.062,0,255,255,16.813,0.892,1.109,0.902,0.930
439,12.886,0,255,255,14.063,0.819,1.176,0.850,0.886
440,20.370,0,255,255,17.273,0.858,1.146,0.873,0.910
441,31.404,0,255,255,21.230,0.876,1.041,0.961,0.924
442,16.975,0,255,255,16.257,0.807,1.374,0.728,0.894
443,30.247,0,255,255,21.230,0.843,1.106,0.904,0.919
444,23.611,0,255,255,20.281,0.721,1.566,0.638,0.871
445,44.213,0,255,255,26.622,0.784,1.547,0.646,0.923
446,27.083,0,255,255,24.698,0.558,1.149,0.870,0.897
447,27.160,0,255,255,19.754,0.875,1.149,0.871,0.931
448,12.423,0,255,255,13.642,0.839,1.180,0.847,0.907
449,9.491,0,255,255,13.277,0.677,2.461,0.406,0.875
450,11.111,0,255,255,12.789,0.854,1.149,0.870,0.909
451,27.392,0,255,255,19.726,0.885,1.116,0.896,0.927
452,56.096,0,255,255,32.745,0.657,1.896,0.527,0.856
453,45.062,0,255,255,25.511,0.870,1.059,0.945,0.936
454,14.969,0,255,255,14.916,0.845,1.091,0.917,0.900
455,26.312,0,255,255,19.563,0.864,1.094,0.914,0.912
456,19.290,0,255,255,16.488,0.892,1.107,0.903,0.923
457,26.775,0,255,255,20.472,0.803,1.548,0.646,0.925
458,22.994,0,255,255,17.924,0.899,1.035,0.966,0.930
459,18.364,0,255,255,17.043,0.794,1.073,0.932,0.881
460,8.102,0,255,255,10.797,0.873,1.206,0.829,0.882
461,25.000,0,255,255,19.170,0.855,1.046,0.956,0.909
462,32.485,0,255,255,21.690,0.868,1.032,0.969,0.936
463,21.836,0,255,255,17.694,0.876,1.272,0.786,0.934
464,31.790,0,255,255,21.297,0.881,1.016,0.984,0.921
465,33.488,0,255,255,23.452,0.765,1.021,0.980,0.896
