 ,Area,StdDev,Min,Max,Perim.,Circ.,AR,Round,Solidity
1,215.045,0,255,255,88.976,0.341,1.236,0.809,0.924
2,186.410,0,255,255,75.783,0.408,1.157,0.864,0.935
3,111.966,0,255,255,75.297,0.248,1.162,0.861,0.826
4,159.185,0,255,255,71.179,0.395,1.184,0.844,0.931
5,136.264,0,255,255,67.243,0.379,1.139,0.878,0.934
6,283.021,0,255,255,92.505,0.416,1.303,0.767,0.941
7,211.945,0,255,255,83.095,0.386,1.443,0.693,0.933
8,157.743,0,255,255,68.821,0.419,1.110,0.901,0.891
9,286.453,0,255,255,102.684,0.341,1.345,0.743,0.936
10,139.288,0,255,255,64.399,0.422,1.071,0.933,0.915
11,250.523,0,255,255,80.605,0.485,1.386,0.722,0.950
12,221.749,0,255,255,93.050,0.322,1.145,0.873,0.917
13,324.762,0,255,255,91.138,0.491,1.160,0.862,0.953
14,187.551,0,255,255,76.137,0.407,1.168,0.856,0.909
15,109.448,0,255,255,75.484,0.241,1.057,0.946,0.870
16,119.908,0,255,255,77.219,0.253,1.136,0.880,0.902
17,356.033,0,255,255,113.946,0.345,1.646,0.608,0.938
18,113.667,0,255,255,51.580,0.537,1.302,0.768,0.900
19,72.711,0,255,255,44.310,0.465,1.772,0.564,0.857
20,128.215,0,255,255,82.708,0.236,1.241,0.806,0.903
21,147.897,0,255,255,86.109,0.251,1.157,0.865,0.892
22,91.230,0,255,255,40.931,0.684,1.499,0.667,0.918
23,171.754,0,255,255,76.491,0.369,1.175,0.851,0.915
24,127.710,0,255,255,54.407,0.542,1.117,0.895,0.928
25,194.190,0,255,255,82.450,0.359,1.193,0.838,0.931
26,157.377,0,255,255,88.137,0.255,1.189,0.841,0.879
27,125.407,0,255,255,65.902,0.363,1.042,0.959,0.925
28,112.515,0,255,255,54.918,0.469,1.067,0.937,0.926
29,214.474,0,255,255,75.332,0.475,1.342,0.745,0.945
30,161.240,0,255,255,76.946,0.342,1.226,0.816,0.933
31,117.272,0,255,255,69.595,0.304,1.117,0.895,0.919
32,146.928,0,255,255,58.977,0.531,1.221,0.819,0.951
33,151.556,0,255,255,73.419,0.353,1.192,0.839,0.929
34,145.680,0,255,255,76.116,0.316,1.042,0.959,0.928
35,141.301,0,255,255,65.340,0.416,1.187,0.842,0.914
36,154.439,0,255,255,77.386,0.324,1.152,0.868,0.902
37,92.931,0,255,255,47.730,0.513,1.280,0.781,0.912
38,197.784,0,255,255,91.977,0.294,1.237,0.809,0.920
39,38.653,0,255,255,32.052,0.473,3.104,0.322,0.874
40,151.900,0,255,255,60.155,0.527,1.196,0.836,0.925
41,137.545,0,255,255,70.693,0.346,1.101,0.908,0.913
42,139.794,0,255,255,70.349,0.355,1.101,0.908,0.931
43,123.093,0,255,255,84.145,0.218,1.057,0.946,0.862
44,181.180,0,255,255,75.827,0.396,1.299,0.770,0.928
45,199.118,0,255,255,94.355,0.281,1.246,0.803,0.916
46,143.646,0,255,255,64.439,0.435,1.096,0.912,0.928
47,219.790,0,255,255,86.239,0.371,1.263,0.792,0.939
48,153.256,0,255,255,75.697,0.336,1.190,0.840,0.907
49,136.490,0,255,255,78.539,0.278,1.060,0.943,0.925
50,133.811,0,255,255,81.576,0.253,1.068,0.936,0.909
51,242.807,0,255,255,109.233,0.256,1.703,0.587,0.926
52,141.731,0,255,255,57.999,0.529,1.092,0.916,0.945
53,137.846,0,255,255,63.058,0.436,1.088,0.919,0.931
54,160.014,0,255,255,67.901,0.436,1.097,0.912,0.932
55,164.339,0,255,255,73.312,0.384,1.067,0.937,0.945
56,113.312,0,255,255,92.386,0.167,1.191,0.840,0.854
57,145.271,0,255,255,91.430,0.218,1.208,0.828,0.887
58,124.137,0,255,255,66.493,0.353,1.083,0.923,0.919
59,197.677,0,255,255,78.625,0.402,1.245,0.803,0.923
60,139.686,0,255,255,77.625,0.291,1.037,0.964,0.913
61,104.133,0,255,255,56.077,0.416,1.308,0.764,0.913
62,210.740,0,255,255,85.333,0.364,1.216,0.823,0.926
63,79.006,0,255,255,46.516,0.459,1.596,0.626,0.899
64,122.770,0,255,255,96.732,0.165,1.162,0.860,0.843
65,157.313,0,255,255,64.299,0.478,1.075,0.930,0.934
66,90.413,0,255,255,54.954,0.376,1.114,0.898,0.885
67,158.077,0,255,255,76.707,0.338,1.169,0.856,0.924
68,46.971,0,255,255,102.247,0.056,53.889,0.019,1.000
