 ,Area,StdDev,Min,Max,Perim.,Circ.,AR,Round,Solidity
1,62.419,0,255,255,33.819,0.686,2.335,0.428,0.750
2,93.628,0,255,255,52.065,0.434,2.610,0.383,0.529
3,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
4,20.806,0,255,255,15.574,1.000,2.000,0.500,1.000
5,135.241,0,255,255,78.650,0.275,1.650,0.606,0.565
6,31.209,0,255,255,18.246,1.000,1.464,0.683,0.857
7,31.209,0,255,255,18.246,1.000,1.464,0.683,0.857
8,31.209,0,255,255,18.246,1.000,1.464,0.683,0.857
9,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
10,135.241,0,255,255,72.200,0.326,1.981,0.505,0.565
11,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
12,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
13,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
14,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
15,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
16,41.612,0,255,255,18.246,1.000,1.000,1.000,1.000
17,72.822,0,255,255,40.270,0.564,3.158,0.317,0.667
18,20.806,0,255,255,15.574,1.000,2.000,0.500,1.000
19,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
20,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
21,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
22,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
23,114.434,0,255,255,67.638,0.314,3.096,0.323,0.449
24,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
25,31.209,0,255,255,20.135,0.967,3.000,0.333,1.000
26,93.628,0,255,255,52.065,0.434,1.301,0.768,0.600
27,104.031,0,255,255,52.065,0.482,1.200,0.833,0.645
28,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
29,114.434,0,255,255,55.061,0.474,1.867,0.536,0.647
30,62.419,0,255,255,24.696,1.000,1.500,0.667,1.000
31,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
32,20.806,0,255,255,15.574,1.000,2.000,0.500,1.000
33,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
34,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
35,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
36,31.209,0,255,255,18.246,1.000,1.464,0.683,0.857
37,20.806,0,255,255,15.574,1.000,2.000,0.500,1.000
38,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
39,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
40,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
41,20.806,0,255,255,18.246,0.785,2.646,0.378,0.667
42,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
43,20.806,0,255,255,15.574,1.000,2.000,0.500,1.000
44,52.016,0,255,255,27.368,0.873,2.188,0.457,0.714
45,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
46,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
47,93.628,0,255,255,53.954,0.404,1.118,0.894,0.643
48,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
49,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
50,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
51,31.209,0,255,255,18.246,1.000,1.464,0.683,0.857
52,41.612,0,255,255,18.246,1.000,1.000,1.000,1.000
53,20.806,0,255,255,15.574,1.000,2.000,0.500,1.000
54,31.209,0,255,255,18.246,1.000,1.464,0.683,0.857
55,72.822,0,255,255,37.598,0.647,2.982,0.335,0.824
56,41.612,0,255,255,18.246,1.000,1.000,1.000,1.000
57,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
58,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
59,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
60,31.209,0,255,255,18.246,1.000,1.464,0.683,0.857
61,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
62,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
63,62.419,0,255,255,33.819,0.686,2.464,0.406,0.667
64,31.209,0,255,255,18.246,1.000,1.464,0.683,0.857
65,20.806,0,255,255,15.574,1.000,2.000,0.500,1.000
66,104.031,0,255,255,52.065,0.482,1.332,0.750,0.625
67,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
68,41.612,0,255,255,27.368,0.698,2.654,0.377,0.667
69,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
70,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
71,41.612,0,255,255,18.246,1.000,1.000,1.000,1.000
72,31.209,0,255,255,18.246,1.000,1.464,0.683,0.857
73,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
74,93.628,0,255,255,41.052,0.698,1.048,0.954,0.720
75,31.209,0,255,255,18.246,1.000,1.464,0.683,0.857
76,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
77,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
78,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
79,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
80,62.419,0,255,255,33.819,0.686,2.464,0.406,0.667
81,72.822,0,255,255,33.819,0.800,2.123,0.471,0.875
82,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
83,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
84,83.225,0,255,255,31.147,1.000,2.000,0.500,1.000
85,20.806,0,255,255,15.574,1.000,2.000,0.500,1.000
86,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
87,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
88,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
89,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
90,20.806,0,255,255,15.574,1.000,2.000,0.500,1.000
91,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
92,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
93,20.806,0,255,255,15.574,1.000,2.000,0.500,1.000
94,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
95,10.403,0,255,255,9.123,1.000,1.000,1.000,1.000
96,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
97,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
98,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
99,20.806,0,255,255,15.574,1.000,2.000,0.500,1.000
100,31.209,0,255,255,18.246,1.000,1.464,0.683,0.857
101,31.209,0,255,255,18.246,1.000,1.464,0.683,0.857
102,145.644,0,255,255,75.978,0.317,1.435,0.697,0.622
103,20.806,0,255,255,13.684,1.000,2.000,0.500,1.000
