 ,Area,StdDev,Min,Max,Perim.,Circ.,AR,Round,Solidity
1,88.398,0,255,255,33.936,0.965,1.012,0.988,0.833
2,8.840,0,255,255,8.920,1.000,2.000,0.500,1.000
3,75.138,0,255,255,30.453,1.000,1.336,0.749,0.919
4,66.298,0,255,255,30.453,0.898,1.775,0.563,0.909
5,132.597,0,255,255,39.373,1.000,1.116,0.896,0.923
6,13.260,0,255,255,13.124,0.967,3.000,0.333,1.000
7,88.398,0,255,255,33.426,0.994,1.494,0.669,0.930
8,132.597,0,255,255,41.114,0.986,1.282,0.780,0.870
9,17.680,0,255,255,17.329,0.740,4.000,0.250,1.000
10,97.238,0,255,255,35.168,0.988,1.342,0.745,0.880
11,39.779,0,255,255,24.507,0.832,2.386,0.419,0.947
12,13.260,0,255,255,13.124,0.967,3.000,0.333,1.000
13,88.398,0,255,255,34.658,0.925,1.619,0.618,0.909
14,35.359,0,255,255,23.275,0.820,2.232,0.448,0.889
15,97.238,0,255,255,33.426,1.000,1.101,0.908,0.936
16,17.680,0,255,255,17.329,0.740,4.000,0.250,1.000
17,88.398,0,255,255,33.426,0.994,1.429,0.700,0.909
18,26.519,0,255,255,23.275,0.615,3.003,0.333,0.750
19,13.260,0,255,255,13.124,0.967,3.000,0.333,1.000
20,66.298,0,255,255,29.222,0.976,1.270,0.788,0.857
21,17.680,0,255,255,17.329,0.740,4.000,0.250,1.000
22,88.398,0,255,255,33.426,0.994,1.142,0.876,0.889
23,97.238,0,255,255,37.631,0.863,1.511,0.662,0.898
24,26.519,0,255,255,19.071,0.916,1.809,0.553,0.857
25,132.597,0,255,255,39.373,1.000,1.116,0.896,0.923
26,17.680,0,255,255,17.329,0.740,4.000,0.250,1.000
27,57.459,0,255,255,30.453,0.779,1.694,0.590,0.867
28,70.718,0,255,255,28.712,1.000,1.000,1.000,1.000
29,128.177,0,255,255,40.604,0.977,1.207,0.828,0.906
30,110.497,0,255,255,38.141,0.954,1.260,0.794,0.862
31,92.818,0,255,255,33.426,1.000,1.147,0.872,0.933
32,101.657,0,255,255,35.168,1.000,1.132,0.884,0.885
33,132.597,0,255,255,41.114,0.986,1.234,0.811,0.870
34,97.238,0,255,255,33.426,1.000,1.101,0.908,0.936
35,114.917,0,255,255,38.141,0.993,1.051,0.952,0.852
36,110.497,0,255,255,38.141,0.954,1.198,0.835,0.862
37,123.757,0,255,255,38.141,1.000,1.263,0.792,0.903
38,128.177,0,255,255,38.141,1.000,1.182,0.846,0.906
39,110.497,0,255,255,36.400,1.000,1.147,0.872,0.909
40,119.337,0,255,255,37.631,1.000,1.210,0.826,0.947
41,88.398,0,255,255,32.195,1.000,1.083,0.923,0.889
42,106.077,0,255,255,35.168,1.000,1.222,0.818,0.906
43,92.818,0,255,255,33.426,1.000,1.182,0.846,0.913
44,114.917,0,255,255,39.373,0.932,1.156,0.865,0.867
45,119.337,0,255,255,37.631,1.000,1.210,0.826,0.947
46,110.497,0,255,255,36.400,1.000,1.177,0.849,0.926
47,57.459,0,255,255,26.248,1.000,1.148,0.871,0.897
48,101.657,0,255,255,35.168,1.000,1.311,0.763,0.885
49,88.398,0,255,255,32.195,1.000,1.083,0.923,0.889
50,106.077,0,255,255,36.910,0.978,1.200,0.834,0.842
51,106.077,0,255,255,36.910,0.978,1.121,0.892,0.842
